First,Last,Invitation Source
Jaime,Gonzalo Benito,Regional Championship - EMEA
Paul,Green,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jonny,Guttman,39+ AMP (Post PT ECL)
Wappa,Hamada,Regional Championship - US #1
Masakuni,Hamaguchi,Regional Championship - JPK
Shinnosuke,Hando,Deferred from PT ECL
Koki,Hara,Regional Championship - JPK
Clément,Harvey,Regional Championship - CA
Takuya,Hasegawa,Regional Championship - JPK
Victor,Hawkins,39+ AMP (Post PT ECL)
Yang,He,Regional Championship - US #1
Julien,Henry,PT ECL 30+ Match Points
Shaun,Henry,World Championship 31 Top 8; 39+ AMP (Post PT ECL)
Elijah,Herr,Regional Championship - US #2
Evan,Higgins,Regional Championship - US #2
Ethan,Hollen,Regional Championship - US #1
Jude,Hopkins,Regional Championship - US #1
Masataka,Hori,Regional Championship - JPK
Yuta,Hori,Deferred from PT ECL
Makoto,Horiuchi,39+ AMP (Post PT ECL)
Yuya,Hosokawa,Deferred from PT ECL
Manato,Hosomi,Regional Championship - JPK
Brendan,Hsu,Regional Championship - US #1
Nathan,Hu,Deferred from PT ECL
Alan,Hubbard,Regional Championship - US #2
Arne,Huschenbeth,World Championship 31 Top 8; 39+ AMP (Post PT ECL); PT ECL 30+ Match Points; Arena Championship 11 - Top 16
Yuuki,Ichikawa,PT ECL 30+ Match Points
David,Inglis,39+ AMP (Post PT ECL)
Toru,Inoue,39+ AMP (Post PT ECL)
Mauricio,Iriarte,Deferred from PT ECL
Valerie,Jade,Magic Spotlight: ECL (Toronto)
Lukas,Jaklovsky,Magic Spotlight: Avatar (Lyon)
Amy,James,Regional Championship - US #1
Jeff,Jao,Regional Championship - US #1
Maciej,Jezyna,Regional Championship - EMEA
Zihao,Ji,Deferred from PT ECL
Yiren,Jiang,39+ AMP (Post PT ECL)
Gabriel,Joglar,Regional Championship - US #1
Ben,Jones,Regional Championship - EMEA
Ryan,Jonns Lewis,Regional Championship - ANZ
Hiroki,Kageyama,Deferred from PT ECL
Matyáš,Kalužný,Regional Championship - EMEA
Liam,Kane,39+ AMP (Post PT ECL)
Alexander,Kans,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Eli,Kassis,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jody,Keith,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
David,Kerrigan,Regional Championship - US #1
Se̍k-un,Khó͘,Deferred from PT ECL
Andrew,Kidston,Regional Championship - CA
Atsuki,Kihara,PT ECL 30+ Match Points
Charis,Kikidis,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Adam,Kinnaird,Deferred from PT ECL
Nathan,Kirner,Deferred from PT ECL
Jake,Koenig,Regional Championship - US #1
Brandon,Kohrs,Arena Championship 11 - Top 16
Maxx,Kominowski,Magic Spotlight: Avatar (Atlanta)
Kevin,Kong,Regional Championship - US #2
Chris,Kral,Magic Spotlight: Avatar (Atlanta)
Will,Krueger,Regional Championship - US #2
Prez,Kuhnke,Regional Championship - US #2
Masashiro,Kuroda,Deferred from PT ECL
Etai,Kurtzman,PT ECL 30+ Match Points
Curtis,Lam,Regional Championship - US #1
Christoffer,Larsen,39+ AMP (Post PT ECL); PT ECL 30+ Match Points; Arena Championship 11 - Top 16
Benji,Leaf,Deferred from PT ECL
Anthony,Lee,39+ AMP (Post PT ECL)
Rick Hup Beng,Lee,Deferred from PT ECL
Shi Tian,Lee,Regional Championship - CT
Christopher,Leonard Huu Nguyen,Deferred from PT ECL
Avi,Lessure,PT ECL 30+ Match Points
Phil,Li,39+ AMP (Post PT ECL)
Jeff,Lin,Arena Championship 11 - Top 16
Yuchen,Liu,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Guillermo,Loli,Regional Championship - SA
Jorge,Lopez,Regional Championship - MCC
Ding,Luo,Deferred from PT ECL
Guglielmo,Lupi,39+ AMP (Post PT ECL); PT ECL 30+ Match Points; Magic Spotlight: Avatar (Lyon)
Noah,Ma,Regional Championship - JPK
Benton,Madsen,39+ AMP (Post PT ECL)
Edgar,Magalhaes,PT ECL Second Chance PTQ
Seth,Manfield,World Championship 31 Top 8; 39+ AMP (Post PT ECL)
Rafael,Marin,Regional Championship - US #1
Adrià,Martín,PT ECL 30+ Match Points
Carlos,Martínez,Deferred from PT ECL
Toni,Martos,Arena Championship 11 - Top 16
Kenta,Masukado,39+ AMP (Post PT ECL)
Spencer,Mazur,PT ECL Second Chance PTQ
Gavin,Meagher,Regional Championship - US #2
Jonathan,Melamed,Regional Championship - US #1
Adriano,Melo,Regional Championship - SA
Guilherme,Merjam,Regional Championship - SA
Asha,Mills Emmett,Regional Championship - CA
Aidan,Mirabelli,39+ AMP (Post PT ECL)
Ryouta,Mishina,Regional Championship - JPK
Jacob,Mitchell-Rabaey,39+ AMP (Post PT ECL)
Pedro,Molina,Deferred from PT ECL
Alejandro,Mora,PT ECL 30+ Match Points
Nicolás,Morales Macaya,Deferred from PT ECL
Vasilios,Morikis,Regional Championship - US #1
Masahide,Moriyama,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Pier Paolo,Moro,Regional Championship - EMEA
Collins,Mullen,PT ECL Second Chance PTQ
Ryan,Mullens,Deferred from PT ECL
Shuhei,Nakamura,39+ AMP (Post PT ECL)
Atsushi,Nakashima,Regional Championship - JPK
Bassel,Nasri,39+ AMP (Post PT ECL)
Matt,Nass,39+ AMP (Post PT ECL)
Richard,Nealston,Regional Championship - US #2
Kye,Nelson,Magic Spotlight: Avatar (Atlanta)
"Hei Wo, Johnathan",Ng,Regional Championship - CN
Truong Hai,Nguyen,Regional Championship - US #1
Gabriel,Nicholas,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Simon,Nielsen,39+ AMP (Post PT ECL); PT ECL 30+ Match Points; Magic Spotlight: Avatar (Lyon)
Dylan,Nollen,39+ AMP (Post PT ECL)
Allen,Norman,Regional Championship - US #2
Ryan,Normandin,Regional Championship - US #2
Allan,Oca,Deferred from PT ECL
Nicholas,Odenheimer,39+ AMP (Post PT ECL)
Noé,Offman,39+ AMP (Post PT ECL)
Atsuya,Okuno,Deferred from PT ECL
Pietro Maria,Oltolina,Deferred from PT ECL
Kenji,Onoda,Regional Championship - JPK
Matthew,Oomkes,Regional Championship - US #2
Valentin,Orru,Regional Championship - EMEA
Nick,Osterude,Regional Championship - US #1
Kenny,Oswald,Magic Spotlight: Avatar (Atlanta)
Kazutaka,Oya,Regional Championship - JPK
Takeshi,Ozawa,PT ECL Second Chance PTQ
Samuel,Pardee,World Championship 31 Top 8; 39+ AMP (Post PT ECL)
Kellen,Pastore,PT ECL 30+ Match Points
Alexey,Paulot,PT ECL 30+ Match Points
Marc,Peral,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Gavin,Perry,Regional Championship - US #2
Guillaume,Petri,Deferred from PT ECL
Rodrigo,Pinheiro,MTGO Champions Showcase Invitee
Klemen,Pirc,Regional Championship - EMEA
Michael,Plummer,39+ AMP (Post PT ECL)
Raul,Porojan,39+ AMP (Post PT ECL)
Toni,Portolan,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jack,Potter,PT ECL 30+ Match Points
Dylan,Pratt,Magic Spotlight: ECL (Toronto); Arena Championship 11 - Top 16
Jason,Qiu,Magic Spotlight: ECL (Toronto)
Joao,Quege,Regional Championship - SA
Albert,Queralt Garriga,Deferred from PT ECL
Thierry,Ramboa,39+ AMP (Post PT ECL)
Javier,Ramos,Magic Spotlight: Avatar (Atlanta)
Edgar,Rangel,Regional Championship - MCC
Max,Rappaport,39+ AMP (Post PT ECL)
Maxime,Rayvich,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jason,Reid,Regional Championship - US #2
Julian,Riedener,PT ECL 30+ Match Points
Mattia,Rizzi,Regional Championship - EMEA
Ian,Robb,39+ AMP (Post PT ECL)
Bryan,Rockenbach,Deferred from PT ECL
Alex,Rohan,39+ AMP (Post PT ECL)
Patricio,Roman,Regional Championship - SA
David,Rood,39+ AMP (Post PT ECL)
Caleb,Rosenbaum,Deferred from PT ECL
Brennan,Roy,PT ECL 30+ Match Points
Tyson,Roylance,Regional Championship - US #2
Ivan,Saenz,Regional Championship - MCC
Eduardo,Sajgalik,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Luis,Salvatto,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Francisco,Sánchez,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Vinicio,Sanchez Delgado,Deferred from PT ECL
Josep,Sanfeliu,39+ AMP (Post PT ECL)
Victor,Santos Esquici,Regional Championship - SA
Karl,Sarap,39+ AMP (Post PT ECL)
Josh,Saruga,Regional Championship - CA
Justin,Schabel,39+ AMP (Post PT ECL)
Abe,Schnake,39+ AMP (Post PT ECL)
Coby,Schnepf,PT ECL 30+ Match Points
Stefan,Schütz,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Lukas,Schwendinger,Regional Championship - EMEA
Sophi,Seley,Regional Championship - US #1
Aras,Senyuz,Regional Championship - EMEA
Yang,shi,Regional Championship - CN
Akira,Shibata,World Championship 31 Top 8
Mike,Sigrist,Arena Championship 11 - Top 16
Phil,Silberman,Regional Championship - US #2
Aedan,Simons-Rudolph,Regional Championship - US #1
Pierre,Smith,Regional Championship - US #1
Petr,Sochůrek,PT ECL 30+ Match Points
Evan,Sonnenberg-Rhim,PT ECL 30+ Match Points
Matt,Sperling,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jonny,Stange,Regional Championship - US #2
Ben,Stark,Hall of Fame
Alejandro,Stefanino,Deferred from PT ECL
Matthew,Stefansson,Regional Championship - CA
Tyler,Steinwand,Regional Championship - US #2
Elad,Stettner,MTGO Champions Showcase Invitee
Nathan,Steuer,PT ECL Second Chance PTQ
Devon,Straub,Regional Championship - US #1
Miitri,Suorsa,Deferred from PT ECL
Eli,Swafford,Magic Spotlight: Avatar (Atlanta); Magic Spotlight: ECL (Toronto)
Piotr,Szyiński,Deferred from PT ECL
Kazuya,Takuwa,MTGO Champions Showcase Invitee
Nick,Talbot,PT ECL 30+ Match Points
Mitchell,Tamblyn,39+ AMP (Post PT ECL)
Yuya,Tase,Regional Championship - JPK
Gavin,Teo,Deferred from PT ECL
Lorenzo,Terlizzi,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Sebastian,Thaler,Deferred from PT ECL
Claire,Tian,Regional Championship - SEA
Oliver,Tomajko,Magic Spotlight: Avatar (Atlanta)
Quinn,Tonole,39+ AMP (Post PT ECL)
Bernardo,Torres,39+ AMP (Post PT ECL)
Sebastian,Torrico,Regional Championship - SA
Klarke,Trezise,Regional Championship - ANZ
Cyprien,Tron,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Mark,Tubola,Regional Championship - SEA
Ben,Tudman,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jay,van der Heiden,Deferred from PT ECL
Luis,Venegas,Deferred from PT ECL
Gaétan,Verdierre,Magic Spotlight: Avatar (Lyon)
Evan,Vetter,Regional Championship - US #1
Alex,von Stange,Regional Championship - JPK
John,Wager,Regional Championship - US #2
Rob,Wagner-Krankel ,Regional Championship - US #2
Austin,Walker,Regional Championship - US #2
Daniel,Weiser,PT ECL 30+ Match Points
Daniel,Weiss,Arena Championship 11 - Top 16
Tom,White,PT ECL 30+ Match Points
Joshua,Willis,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Charles,Wong,Magic Spotlight: ECL (Toronto)
Marcus,Wosner,PT ECL 30+ Match Points
Matthew,Wright,39+ AMP (Post PT ECL); PT ECL 30+ Match Points; Arena Championship 11 - Top 16
Allen,Wu,PT ECL 30+ Match Points
Tristan,Wylde-LaRue,Regional Championship - US #1
Matt,Xu,Regional Championship - US #2
Yoshitaka,Yamasaki,Deferred from PT ECL
Kazuki,Yamashita,Regional Championship - JPK
Enhui,Yang,Deferred from PT ECL
Yi,Yang,Deferred from PT ECL
Shota,Yasooka,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jack,Young,Regional Championship - EMEA
Michael NK,Young,Regional Championship - US #1
Muhan,Yu,Regional Championship - CN
Jack,Yudt,Regional Championship - US #2
Ken,Yukuhiro,World Championship 31 Top 8; 39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Neilson,Zhang,Regional Championship - CA
Rui,Zhang,39+ AMP (Post PT ECL)
Wentong,Zhang,Regional Championship - US #2
Yuxuan,Zhang,Deferred from PT ECL
Chang,Zheng,Regional Championship - CN
Yimin,Zhi,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Ben,Zoz,Arena Championship 11 - Top 16
